instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	Please read each statement and circle a number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past week. There are no right or wrong answers. Do not spend too much time on any statement.	0	2		
radio	I found it hard to wind down. 	1	3	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I was aware of dryness of my mouth	1	3	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I couldn't seem to experience any positive feeling at all.	1	3	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion	1	3	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I found it difficult to work up the initiative to do things. 	1	3	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I tended to over-react to situations.	1	3	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I experienced trembling (e.g. in the hands)	1	4	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I felt that I was using a lot of nervous energy.	1	4	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I was worried about situations in which I might panic and make a fool of myself.	1	4	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I felt that I had nothing to look forward to.	1	4	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I found myself getting agitated	1	4	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I found it difficult to relax.	1	4	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I felt downhearted and blue. 	1	5	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I was intolerant of anything that kept me from getting on with what I was doing.	1	5	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I felt I was close to panic.	1	5	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I was unable to become enthusiastic about anything.	1	5	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I felt I wasn't worth much as a person. 	1	5	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I felt that I was rather touchy.	1	6	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat).	1	6	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I felt scared without any good reason.	1	6	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
radio	I felt that life was meaningless.	1	6	Did not apply to me at all:0, Applied to me to some degree, or some of the time:1, Applied to me to a considerable degree, or a good part of time: 2, Applied to me very much, or most of the time: 3	0,1,2,3
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	7		